"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Oct 10 15:39:43 GMT 2024","Thu Oct 10 15:40:59 GMT 2024","76719","","METTA-MORPH-TESTS","","METTA-MORPH-TESTS","","SEQUENTIAL-NESTED.02",""
"passed","Thu Oct 10 14:54:51 GMT 2024","Thu Oct 10 14:54:51 GMT 2024","4","","HYPERON-METTALOG-SANITY","","HYPERON-METTALOG-SANITY","","SUBTRACTION-TEST.01",""
"passed","Thu Oct 10 15:39:43 GMT 2024","Thu Oct 10 15:39:44 GMT 2024","1435","","METTA-MORPH-TESTS","","METTA-MORPH-TESTS","","PEANO.02",""
"passed","Thu Oct 10 14:54:51 GMT 2024","Thu Oct 10 14:54:51 GMT 2024","944","","HYPERON-METTALOG-SANITY","","HYPERON-METTALOG-SANITY","","SUBTRACTION-TEST.02",""
"failed","Thu Oct 10 14:15:03 GMT 2024","Thu Oct 10 14:15:50 GMT 2024","47000","","WHOLE-TESTS","","WHOLE-TESTS","","metta-morph_tests.nalifier",""
"failed","Thu Oct 10 14:15:03 GMT 2024","Thu Oct 10 14:15:49 GMT 2024","46000","","WHOLE-TESTS","","WHOLE-TESTS","","metta-morph_tests.and_or",""
"passed","Thu Oct 10 14:34:21 GMT 2024","Thu Oct 10 14:34:21 GMT 2024","3","","HYPERON-EXPERIMENTAL-SCRIPTS","","HYPERON-EXPERIMENTAL-SCRIPTS","","C3-PLN-STV.01",""
"passed","Thu Oct 10 14:54:51 GMT 2024","Thu Oct 10 14:54:51 GMT 2024","3","","HYPERON-METTALOG-SANITY","","HYPERON-METTALOG-SANITY","","00-LANG-CASE.01",""
"failed","Thu Oct 10 14:15:03 GMT 2024","Thu Oct 10 14:15:49 GMT 2024","46000","","WHOLE-TESTS","","WHOLE-TESTS","","metta-morph_tests.states_spaces",""
"passed","Thu Oct 10 14:19:42 GMT 2024","Thu Oct 10 14:19:42 GMT 2024","3","","METTA-WAM-ISSUE-116","","METTA-WAM-ISSUE-116","","TEST-SPO-100.01",""
"passed","Thu Oct 10 15:39:43 GMT 2024","Thu Oct 10 15:39:43 GMT 2024","3","","METTA-MORPH-TESTS","","METTA-MORPH-TESTS","","ZEROARGS.01",""
"passed","Thu Oct 10 14:19:42 GMT 2024","Thu Oct 10 14:19:43 GMT 2024","1221","","METTA-WAM-ISSUE-116","","METTA-WAM-ISSUE-116","","TEST-SPO-1000.02",""
